title,platform,Score,release_year
X-COM: UFO Defense,PlayStation,9,1996
Zero Divide,PlayStation,5,1996
Zoop,PlayStation,5,1996
Ace Combat 2,PlayStation,9,1997
AeroFighters Assault,Nintendo 64,5,1997
All-Star Baseball '97 Featuring Frank Thomas,PlayStation,5,1997
Arcade's Greatest Hits: The Atari Collection 1,PlayStation,7,1997
Arcade's Greatest Hits: The Midway Collection 2,PlayStation,7,1997
Armored Core,PlayStation,8,1997
Automobili Lamborghini,Nintendo 64,7,1997
BallBlazer Champions,PlayStation,6,1997
Battle Arena Toshinden 3,PlayStation,6,1997
Battle Stations,PlayStation,6,1997
Battlesport,PlayStation,6,1997
Big Bass World Championship,PlayStation,6,1997
Black Dawn,PlayStation,8,1997
Blast Corps,Nintendo 64,9,1997
Blood Omen: Legacy of Kain,PlayStation,9,1997
Bomberman 64,Nintendo 64,8,1997
Bottom of the 9th '97,PlayStation,6,1997
BRAHMA Force: The Assault On Beltlogger 9,PlayStation,7,1997
Bravo Air Race,PlayStation,4,1997
Broken Helix,PlayStation,6,1997
Bug Riders,PlayStation,3,1997
Bushido Blade,PlayStation,9,1997
Buster Bros. Collection,PlayStation,6,1997
Caesars Palace,PlayStation,6,1997
Car and Driver Presents Grand Tour Racing 98,PlayStation,6,1997
Carnage Heart,PlayStation,9,1997
CART World Series,PlayStation,7,1997
Castlevania: Symphony of the Night,PlayStation,9,1997
Chameleon Twist,Nintendo 64,7,1997
ClayFighter 63 1/3,Nintendo 64,4,1997
Clock Tower,PlayStation,6,1997
Codename: Tenka,PlayStation,7,1997
Colony Wars,PlayStation,9,1997
Command & Conquer (1997),PlayStation,8,1997
Command & Conquer: Red Alert,PlayStation,8,1997
Cool Boarders 2,PlayStation,7,1997
Courier Crisis,PlayStation,3,1997
Crash Bandicoot 2: Cortex Strikes Back,PlayStation,9,1997
Critical Depth,PlayStation,5,1997
Croc: Legend of the Gobbos,PlayStation,8,1997
Crusader: No Remorse,PlayStation,7,1997
Crypt Killer,PlayStation,4,1997
Dark Rift,Nintendo 64,5,1997
Darklight Conflict,PlayStation,7,1997
Deception: Invitation to Darkness,PlayStation,7,1997
Descent Maximum,PlayStation,8,1997
Diddy Kong Racing,Nintendo 64,8,1997
Discworld II: Mortality Bytes!,PlayStation,6,1997
Disruptor,PlayStation,8,1997
Doom 64,Nintendo 64,7,1997
Doraemon Nobita & The 3 Fairy Spirit Stones,Nintendo 64,3,1997
Dragon Ball GT Final Bout,PlayStation,3,1997
Duke Nukem 64,Nintendo 64,8,1997
Duke Nukem: Total Meltdown,PlayStation,7,1997
Dynasty Warriors,PlayStation,8,1997
Excalibur 2555 AD,PlayStation,3,1997
Extreme-G,Nintendo 64,8,1997
F1 Pole Position 64,Nintendo 64,4,1997
Fantastic Four,PlayStation,1,1997
Felony 11-79,PlayStation,7,1997
FIFA Road to World Cup 98,PlayStation,9,1997
FIFA Road to World Cup 98,Nintendo 64,8,1997
FIFA Soccer 64,Nintendo 64,4,1997
Fighting Force,PlayStation,6,1997
Final Doom,PlayStation,7,1997
Final Fantasy VII,PlayStation,10,1997
Formula 1: Championship Edition,PlayStation,9,1997
Frogger,PlayStation,2,1997
G-Police,PlayStation,8,1997
Ghost in the Shell,PlayStation,8,1997
Goal Storm '97,PlayStation,6,1997
Golden Nugget,PlayStation,6,1997
GoldenEye 007,Nintendo 64,10,1997
Grand Slam,PlayStation,6,1997
Grid Runner,PlayStation,6,1997
Herc's Adventures,PlayStation,6,1997
Hercules,PlayStation,6,1997
Hexen,PlayStation,5,1997
Hexen,Nintendo 64,4,1997
Hi-Octane,PlayStation,6,1997
Independence Day,PlayStation,2,1997
