title,platform,Score,release_year
Tony Hawk's Pro Skater 2x,Xbox,8,2001
Tony Hawk's Pro Skater 3,PlayStation 2,10,2001
Tony Hawk's Pro Skater 3,PlayStation,10,2001
Tony Hawk's Pro Skater 3,GameCube,9,2001
Top Gun: Combat Zones,PlayStation 2,6,2001
Toy Story Racer,PlayStation,8,2001
Toy Story Racer,Game Boy Color,7,2001
Trade Empires,PC,8,2001
TransWorld Surf,Xbox,9,2001
Triple Play Baseball,PC,8,2001
Triple Play Baseball,PlayStation,7,2001
Triple Play Baseball,PlayStation 2,7,2001
TRL Trivia,PC,5,2001
Tropico,PC,9,2001
Trouballs,Game Boy Color,7,2001
Tsugunai: Atonement,PlayStation 2,8,2001
Tweety and the Magic Gems,Game Boy Advance,5,2001
Tweety's High-Flying Adventure,Game Boy Color,8,2001
Twisted Metal: Black,PlayStation 2,10,2001
Twisted Metal: Small Brawl,PlayStation,5,2001
Ultima Online: Third Dawn,PC,8,2001
Ultimate Ride,PC,8,2001
UNiSON,PlayStation 2,8,2001
Unreal Tournament [1999],Dreamcast,9,2001
Vampire Night,PlayStation 2,7,2001
Vanishing Point,PlayStation,5,2001
Victorious Boxers: Ippo's Road to Glory,PlayStation 2,9,2001
Wacky Races,PC,6,2001
Wario Land 4,Game Boy Advance,9,2001
Warriors of Might and Magic,PlayStation,5,2001
Warriors of Might and Magic,PlayStation 2,5,2001
Warriors of Might and Magic,Game Boy Color,3,2001
Waterloo: Napoleon's Last Battle,PC,8,2001
Wave Race: Blue Storm,GameCube,9,2001
Wave Rally,PlayStation 2,7,2001
Wendy: Every Witch Way,Game Boy Color,8,2001
Who Wants To Be A Millionaire? 3rd Edition,PC,7,2001
WinBack: Covert Operations,PlayStation 2,7,2001
Wizardry VIII,PC,8,2001
Wizardry: Tale of the Forsaken Land,PlayStation 2,7,2001
Woody Woodpecker Racing,PC,5,2001
World Destruction League Thunder Tanks,Game Boy Color,4,2001
World Destruction League: War Jetz,PlayStation 2,6,2001
World Series Baseball 2K2,Dreamcast,9,2001
World War III: Black Gold,PC,6,2001
World's Scariest Police Chases,PlayStation,6,2001
Worms World Party,Dreamcast,8,2001
Worms World Party,PC,8,2001
WWF Betrayal,Game Boy Color,6,2001
WWF SmackDown! Just Bring It,PlayStation 2,8,2001
WWF With Authority!,PC,7,2001
WWII Online,PC,6,2001
X-COM: Enforcer,PC,8,2001
X-Men: Mutant Academy 2,PlayStation,8,2001
X-Men: Reign of Apocalypse,Game Boy Advance,7,2001
X-Men: Wolverine's Rage,Game Boy Color,7,2001
X-Plane,PC,8,2001
XG3 Extreme-G Racing,GameCube,9,2001
XG3 Extreme-G Racing,PlayStation 2,8,2001
Yanya Caballista: City Skater,PlayStation 2,4,2001
Z: Steel Soldiers,PC,8,2001
Zax: The Alien Hunter,PC,8,2001
Zero Gunner 2,Dreamcast,8,2001
Zeus -- Official Expansion: Poseidon,PC,9,2001
Zone of the Enders,PlayStation 2,8,2001
Zoo Tycoon [2001],PC,7,2001
18-Wheeler American Pro Trucker,GameCube,5,2002
2002 FIFA World Cup,PC,9,2002
2002 FIFA World Cup,GameCube,8,2002
2002 FIFA World Cup,Xbox,8,2002
2002 FIFA World Cup,PlayStation 2,8,2002
4x4 Evo 2,GameCube,5,2002
Activision Anthology,PlayStation 2,9,2002
Aero the Acrobat,Game Boy Advance,8,2002
Age of Empires,Macintosh,7,2002
Age of Mythology,PC,9,2002
Age of Wonders II: The Wizard's Throne,PC,9,2002
Aggressive Inline,PlayStation 2,9,2002
Aggressive Inline,Xbox,9,2002
Aggressive Inline,GameCube,9,2002
Aggressive Inline,Game Boy Advance,7,2002
Air Hockey-e,Game Boy Advance,6,2002
AirBlade,PlayStation 2,8,2002
AirForce Delta Storm,Game Boy Advance,7,2002
Alfred Hitchcock Presents: The Final Cut,PC,6,2002
Aliens vs. Predator 2: Primal Hunt,PC,6,2002
All-Star Baseball 2003,PlayStation 2,9,2002
All-Star Baseball 2003,Xbox,9,2002
All-Star Baseball 2003,GameCube,8,2002
All-Star Baseball 2003,Game Boy Advance,8,2002
Altered Beast: Guardian of the Realms,Game Boy Advance,8,2002
America's Army,PC,9,2002
American Hunting Volume 1: Varmint Hunter,PC,1,2002
Anarchy Online: The Notum Wars,PC,9,2002
Animal Crossing,GameCube,9,2002
Antz Extreme Racing,PlayStation 2,2,2002
Antz Extreme Racing,PC,2,2002
Arc the Lad Collection,PlayStation,9,2002
Armored Core 3,PlayStation 2,7,2002
Army Men: Operation Green,Game Boy Advance,6,2002
Army Men: RTS,PC,8,2002
Army Men: RTS,PlayStation 2,5,2002
Arx Fatalis,PC,8,2002
Asheron's Call 2,PC,9,2002
Assimilation,PC,7,2002
Atari Anniversary Advance,Game Boy Advance,8,2002
Atari Revival,PC,5,2002
ATV Offroad Fury 2,PlayStation 2,9,2002
ATV Quad Power Racing,Game Boy Advance,6,2002
Backyard Basketball 2004,PC,7,2002
Backyard Football,GameCube,5,2002
Baldur's Gate: Dark Alliance,Xbox,9,2002
Baldur's Gate: Dark Alliance,GameCube,8,2002
Ballistic: Ecks vs. Sever,Game Boy Advance,8,2002
Balloon Fight-e,Game Boy Advance,7,2002
Barbarian,PlayStation 2,8,2002
Barbarian,Xbox,7,2002
Barbie: Groovy Games,Game Boy Advance,3,2002
Barbie: Secret Agent Barbie,Game Boy Advance,8,2002
Baseball Advance,Game Boy Advance,9,2002
Baseball Mogul 2002,PC,9,2002
Baseball Mogul 2003,PC,9,2002
Baseball-e,Game Boy Advance,6,2002
Batman Vengeance,PC,7,2002
Battle Realms: Winter of the Wolf,PC,8,2002
Battlecruiser Millennium,PC,7,2002
Battlefield 1942,PC,9,2002
BCT Commander,PC,4,2002
Beach Spikers,GameCube,8,2002
Beam Breakers,PC,8,2002
Beyblade: Let it Rip,PlayStation,2,2002
Big Air Freestyle,GameCube,6,2002
Bikini Karate Babes,PC,2,2002
Birdie Shoot,Macintosh,7,2002
Black & White: Creature Isle,PC,8,2002
Blade II,PlayStation 2,5,2002
Blade II,Xbox,5,2002
Blender Bros.,Game Boy Advance,8,2002
Blinx: The Time Sweeper,Xbox,9,2002
Blood Omen 2: Legacy of Kain,Xbox,8,2002
Blood Omen 2: Legacy of Kain,PC,7,2002
Blood Omen 2: Legacy of Kain,PlayStation 2,7,2002
Blood Wake,Xbox,8,2002
BloodRayne,GameCube,8,2002
BloodRayne,PlayStation 2,8,2002
BloodRayne,Xbox,8,2002
Bloody Roar: Primal Fury,GameCube,8,2002
BMX XXX,Xbox,7,2002
BMX XXX,GameCube,7,2002
BMX XXX,PlayStation 2,6,2002
Bomberman Generation,GameCube,8,2002
Bomberman Max 2: Blue Advance,Game Boy Advance,8,2002
Bomberman Max 2: Red Advance,Game Boy Advance,8,2002
Boulder Dash EX,Game Boy Advance,8,2002
Breath of Fire,Game Boy Advance,8,2002
Breath of Fire II,Game Boy Advance,8,2002
Britney's Dance Beat,PlayStation 2,6,2002
Britney's Dance Beat,Game Boy Advance,5,2002
Broken Sword: The Shadow of the Templars,Game Boy Advance,8,2002
Bruce Lee: Quest of the Dragon,Xbox,4,2002
Buffy the Vampire Slayer,Xbox,8,2002
Bugdom,Macintosh,7,2002
Bugdom II,Macintosh,8,2002
Burnout,Xbox,8,2002
Burnout,GameCube,8,2002
Burnout 2: Point of Impact,PlayStation 2,9,2002
c-12: Final Resistance,PlayStation,7,2002
Cabela's Big Game Hunter [2002],PlayStation 2,6,2002
Caesar III,Macintosh,9,2002
Capcom vs. SNK 2 EO,GameCube,7,2002
Capcom vs. SNK: Millennium Fight 2000 Pro,PlayStation,8,2002
Car Battler Joe,Game Boy Advance,8,2002
Car Tycoon,PC,4,2002
Carmageddon 2: Carpocalypse Now,Macintosh,7,2002
Carnivores: Cityscape,PC,7,2002
Casino Empire,PC,6,2002
Casper: Spirit Dimensions,GameCube,6,2002
Castlevania: Harmony of Dissonance,Game Boy Advance,9,2002
Cel Damage,GameCube,6,2002
Celtic Kings: Rage of War,PC,8,2002
Chase: Hollywood Stunt Driver,Xbox,5,2002
Chessmaster,Game Boy Advance,8,2002
Circus Maximus: Chariot Wars,Xbox,4,2002
Civilization: Call to Power,Macintosh,5,2002
Clive Barker's Undying,Macintosh,9,2002
Clusterball,PC,7,2002
Colin McRae Rally 2.0,Game Boy Advance,9,2002
Columns Crown,Game Boy Advance,7,2002
Combat Mission: Barbarossa to Berlin,PC,9,2002
Command & Conquer Renegade,PC,7,2002
Commandos 2: Men of Courage,PlayStation 2,7,2002
Commandos 2: Men of Courage,Xbox,7,2002
Conflict Zone: Modern War Strategy,Dreamcast,6,2002
Conflict Zone: Modern War Strategy,PlayStation 2,4,2002
Conflict: Desert Storm,Xbox,8,2002
Conflict: Desert Storm,PlayStation 2,6,2002
Contra Advance: The Alien Wars EX,Game Boy Advance,7,2002
Contra: Shattered Soldier,PlayStation 2,8,2002
Cossacks: Back to War,PC,7,2002
Cossacks: The Art of War,PC,8,2002
Crash Bandicoot: The Huge Adventure,Game Boy Advance,9,2002
Crash Bandicoot: The Wrath of Cortex,Xbox,7,2002
Crash Bandicoot: The Wrath of Cortex,GameCube,7,2002
Crazy Taxi 3:  High Roller,Xbox,7,2002
Creatures,PlayStation,3,2002
Crime Patrol 2: Drug Wars,DVD / HD Video Game,1,2002
Cubivore: Survival of the Fittest,GameCube,7,2002
Dance Dance Revolution Konamix,PlayStation,10,2002
Dark Age of Camelot: Shrouded Isles,PC,9,2002
Dark Arena,Game Boy Advance,8,2002
Dark Colony,Macintosh,6,2002
Dark Planet: Battle for Natrolis,PC,8,2002
Dark Summit,GameCube,7,2002
Dark Vengeance,Macintosh,7,2002
Darkened Skye,PC,7,2002
Dave Mirra Freestyle BMX 3,Game Boy Advance,8,2002
Davis Cup Tennis,Game Boy Advance,5,2002
DDRMAX: Dance Dance Revolution,PlayStation 2,9,2002
Dead to Rights,Xbox,9,2002
Dead to Rights,PlayStation 2,8,2002
Dead to Rights,GameCube,8,2002
Deadly Dozen: Pacific Theater,PC,8,2002
Deathrow: Underground Team Combat,Xbox,9,2002
Defender,PlayStation 2,8,2002
Defender,Xbox,7,2002
Defender,GameCube,7,2002
Defender,Game Boy Advance,2,2002
Defender of the Crown,Game Boy Advance,8,2002
Delta Force: Task Force Dagger,PC,6,2002
Demon World: Dark Armies,PC,3,2002
Denki Blocks!,Game Boy Advance,8,2002
Descent 3,Macintosh,9,2002
Desert Strike Advance,Game Boy Advance,8,2002
Destroyer Command,PC,6,2002
Deus Ex,Macintosh,9,2002
Deus Ex: The Conspiracy,PlayStation 2,8,2002
Diablo II,Macintosh,8,2002
Die Hard: Nakatomi Plaza,PC,6,2002
Die Hard: Vendetta,GameCube,6,2002
Diggles: The Myth of Fenris,PC,7,2002
Dino Island,PC,4,2002
Dino Stalker,PlayStation 2,4,2002
Disciples II: Dark Prophecy,PC,9,2002
Disney Golf,PlayStation 2,6,2002
Disney Sports Skateboarding,GameCube,3,2002
Disney Sports Soccer,GameCube,8,2002
Divine Divinity,PC,9,2002
Donald Duck Advance,Game Boy Advance,7,2002
Donald Duck: Goin' Quackers,GameCube,5,2002
Donkey Kong Jr.-e,Game Boy Advance,8,2002
Donkey Kong-e,Game Boy Advance,8,2002
Doom II,Game Boy Advance,8,2002
Doshin the Giant,GameCube,7,2002
Doubutsu no Mori,Nintendo 64,9,2002
Downforce,PlayStation 2,7,2002
Dr. Muto,Xbox,9,2002
Dr. Muto,PlayStation 2,9,2002
Dr. Muto,Xbox,9,2002
Dragon Ball Z Budokai,PlayStation 2,6,2002
Dragon Ball Z: The Legacy of Goku,Game Boy Advance,6,2002
Dragon's Lair 3D: Return to the Lair,Xbox,8,2002
Dragon's Lair 3D: Return to the Lair,PC,7,2002
Drakan: The Ancients' Gates,PlayStation 2,8,2002
Driven,Game Boy Advance,7,2002
Driven,GameCube,4,2002
Driver 2 Advance,Game Boy Advance,7,2002
Drome Racers,PlayStation 2,6,2002
Dropship: United Peace Force,PlayStation 2,8,2002
Dual Blades,Game Boy Advance,6,2002
Dual Hearts,PlayStation 2,7,2002
Duke Nukem Advance,Game Boy Advance,9,2002
Duke Nukem: Manhattan Project,PC,8,2002
Dungeon Siege,PC,9,2002
Dynasty Tactics,PlayStation 2,8,2002
Dynasty Warriors 3,Xbox,7,2002
E.T. The Extra-Terrestrial,Game Boy Advance,4,2002
Earth & Beyond,PC,9,2002
Earthworm Jim 2,Game Boy Advance,4,2002
Ecco the Dolphin: Defender of the Future,PlayStation 2,8,2002
Egg Mania,Game Boy Advance,7,2002
Egg Mania: Eggstreme Madness,PlayStation 2,6,2002
Egg Mania: Eggstreme Madness,Xbox,5,2002
Egg Mania: Eggstreme Madness,GameCube,5,2002
Emperor: Rise of the Middle Kingdom,PC,9,2002
Empire Earth: The Art of Conquest,PC,8,2002
Enclave,Xbox,7,2002
Endgame,PlayStation 2,4,2002
ESPN International Winter Sports 2002,GameCube,6,2002
ESPN International Winter Sports 2002,PlayStation 2,6,2002
ESPN International Winter Sports 2002,Xbox,6,2002
ESPN MLS Extra Time 2002,GameCube,7,2002
ESPN MLS Extra Time 2002,Xbox,7,2002
ESPN NBA 2Night 2002,PlayStation 2,6,2002
ESPN NFL Prime Time 2002,Xbox,4,2002
ESPN Winter X Games Snowboarding 2002,PlayStation 2,7,2002
Eternal Darkness: Sanity's Requiem,GameCube,10,2002
Europa 1400: The Guild,PC,9,2002
Eve of Extinction,PlayStation 2,4,2002
EverQuest: Planes of Power,PC,8,2002
Evolution Skateboarding,GameCube,4,2002
Evolution Skateboarding,PlayStation 2,3,2002
Evolution Snowboarding,PlayStation 2,2,2002
Excitebike-e,Game Boy Advance,8,2002
Extreme PaintBrawl 4,PC,4,2002
F1 2002,PC,9,2002
F1 2002,PlayStation 2,8,2002
F1 2002,GameCube,7,2002
Factory Mogul,PC,6,2002
Falcon 4.0,Macintosh,8,2002
Fallout 2,Macintosh,9,2002
Farscape,PC,5,2002
Fatal Frame,PlayStation 2,8,2002
Fatal Frame,Xbox,8,2002
Ferrari F355 Challenge,PlayStation 2,8,2002
FIFA Soccer 2003,PlayStation 2,8,2002
FIFA Soccer 2003,GameCube,8,2002
FIFA Soccer 2003,Xbox,8,2002
FIFA Soccer 2003,PC,7,2002
Fighter Ace 3.5 Online,PC,8,2002
Fighter Ace III,PC,8,2002
Fighter Maker 2,PlayStation 2,8,2002
Fighting Legends,PC,7,2002
Fire Pro Wrestling 2,Game Boy Advance,7,2002
Fireblade,PlayStation 2,8,2002
Fly!,Macintosh,6,2002
Forever Kingdom,PlayStation 2,7,2002
Freedom Force,PC,9,2002
Freekstyle,PlayStation 2,8,2002
Freekstyle,GameCube,8,2002
Frogger Advance: The Great Quest,Game Boy Advance,7,2002
Frogger: The Great Quest,PC,3,2002
Frogger's Adventure 2: The Lost Wand,Game Boy Advance,8,2002
Galidor: Defenders of the Outer Dimension,Game Boy Advance,4,2002
Gauntlet: Dark Legacy,GameCube,5,2002
Gauntlet: Dark Legacy,Xbox,5,2002
Genma Onimusha,Xbox,8,2002
Geoff Crammond's Grand Prix 4,PC,8,2002
Gitaroo-Man,PlayStation 2,9,2002
Gladiators of Rome,PC,3,2002
Global Operations,PC,8,2002
Go! Go! Beckham! Adventure of Soccer Island,Game Boy Advance,7,2002
GoDai Elemental Force,PlayStation 2,3,2002
Godzilla: Destroy All Monsters Melee,GameCube,8,2002
Godzilla: Domination,Game Boy Advance,6,2002
Goemon: New Age Shutsudo,Game Boy Advance,7,2002
Goofy Golf Deluxe,Macintosh,6,2002
Gore: Ultimate Soldier,PC,8,2002
Grand Theft Auto III,PC,9,2002
Grand Theft Auto: Vice City,PlayStation 2,10,2002
Grandia II,PC,8,2002
Grandia II,PlayStation 2,7,2002
Grandia Xtreme,PlayStation 2,8,2002
Gravity Games Bike: Street. Vert. Dirt.,PlayStation 2,2,2002
GT Advance 2 Rally Racing,Game Boy Advance,8,2002
GTC Africa,PlayStation 2,8,2002
Guilty Gear X,Game Boy Advance,7,2002
GunGrave,PlayStation 2,8,2002
GunMetal,Xbox,7,2002
GunValkyrie,Xbox,9,2002
Hamtaro: Ham-Hams Unite!,Game Boy Color,8,2002
Hard Hitter Tennis,PlayStation 2,4,2002
Harry Potter and the Chamber of Secrets,GameCube,9,2002
Harry Potter and the Chamber of Secrets,Xbox,9,2002
Harry Potter and the Chamber of Secrets,PC,8,2002
Harry Potter and the Chamber of Secrets,Game Boy Advance,8,2002
Harry Potter and the Chamber of Secrets,PlayStation 2,8,2002
Harvest Moon GBC 3,Game Boy Color,7,2002
Harvest Moon GBC 3,Game Boy Color,7,2002
Haven: Call of the King,PlayStation 2,7,2002
Headhunter,Dreamcast,9,2002
Headhunter,PlayStation 2,8,2002
Hearts of Iron,PC,9,2002
Hegemonia: Legions of Iron,PC,8,2002
Herdy Gerdy,PlayStation 2,8,2002
Heroes of Might and Magic IV,PC,9,2002
Heroes of Might and Magic IV: The Gathering Storm,PC,8,2002
Hey Arnold! The Movie,Game Boy Advance,6,2002
Hidden Invasion,PlayStation 2,4,2002
High Heat Major League Baseball 2003,PlayStation 2,9,2002
High Heat Major League Baseball 2003,PC,7,2002
High Heat Major League Baseball 2003,Game Boy Advance,5,2002
Hitman 2: Silent Assassin,PC,9,2002
Hitman 2: Silent Assassin,Xbox,8,2002
Hitman 2: Silent Assassin,PlayStation 2,8,2002
Home Run King,GameCube,6,2002
Hooligans,PC,2,2002
Hooters Road Trip,PC,2,2002
Hoshigami: Ruining Blue Earth,PlayStation,4,2002
Hot Shots Golf 3,PlayStation 2,8,2002
Hot Wheels: Burnin' Rubber,Game Boy Advance,8,2002
Hot Wheels: Velocity X,Game Boy Advance,6,2002
Hot Wheels: Velocity X,PlayStation 2,5,2002
Hot Wheels: Velocity X,GameCube,5,2002
Hoyle Casino [2000],Macintosh,9,2002
Hunter: The Reckoning,Xbox,9,2002
Hunter: The Reckoning,GameCube,7,2002
Hunting Unlimited,PC,8,2002
Ice Age,Game Boy Advance,5,2002
Ice Climber-e,Game Boy Advance,7,2002
Icewind Dale II,PC,9,2002
Imperialism II: The Age of Exploration,Macintosh,8,2002
Incoming Forces,PC,8,2002
Industry Giant II,PC,7,2002
Iron Storm,PC,8,2002
Island Xtreme Stunts,PlayStation 2,5,2002
James Bond 007: Agent Under Fire,GameCube,8,2002
James Bond 007: Agent Under Fire,Xbox,8,2002
James Bond 007: NightFire,GameCube,9,2002
James Bond 007: NightFire,PlayStation 2,8,2002
James Bond 007: NightFire,Xbox,8,2002
James Bond 007: NightFire,PC,7,2002
James Cameron's Dark Angel,PlayStation 2,4,2002
James Cameron's Dark Angel,Xbox,4,2002
Jane's Attack Squadron,PC,5,2002
Jazz and Faust,PC,2,2002
Jazz Jackrabbit,Game Boy Advance,7,2002
Jekyll & Hyde [2001],PC,3,2002
Jeremy McGrath Supercross World,GameCube,4,2002
Jet Set Radio Future,Xbox,9,2002
Jet X,PlayStation 2,7,2002
Jonny Moseley Mad Trix,PlayStation 2,3,2002
Justice League: Injustice for All,Game Boy Advance,5,2002
Kakuto Chojin,Xbox,6,2002
Kao the Kangaroo,Game Boy Advance,5,2002
Kelly Slater's Pro Surfer,Xbox,9,2002
Kelly Slater's Pro Surfer,PlayStation 2,9,2002
Kelly Slater's Pro Surfer,GameCube,8,2002
Kelly Slater's Pro Surfer,Game Boy Advance,8,2002
King's Field: The Ancient City,PlayStation 2,7,2002
Kingdom Hearts,PlayStation 2,9,2002
Kirby: Nightmare in Dream Land,Game Boy Advance,9,2002
Knockout Kings 2002,Xbox,9,2002
Knockout Kings 2002,PlayStation 2,9,2002
Knockout Kings 2003,GameCube,8,2002
Konami Collector's Series: Arcade Advanced,Game Boy Advance,9,2002
Kong: The Animated Series,Game Boy Advance,5,2002
Le Mans 24 Hours,PC,6,2002
Legaia 2: Duel Saga,PlayStation 2,8,2002
Legends of Wrestling,Xbox,7,2002
Legends of Wrestling,GameCube,5,2002
Legends of Wrestling II,Xbox,7,2002
Legends of Wrestling II,GameCube,7,2002
Legends of Wrestling II,PlayStation 2,7,2002
Legends of Wrestling II,Game Boy Advance,2,2002
Legion,PC,4,2002
Legion: The Legend of Excalibur,PlayStation 2,8,2002
LEGO Soccer Mania,PlayStation 2,6,2002
Lethal Skies: Elite Pilot -- Team SW,PlayStation 2,5,2002
Lilo & Stitch,Game Boy Advance,8,2002
Lilo & Stitch,PlayStation,5,2002
Links 2003,PC,9,2002
Looney Tunes: Space Race,PlayStation 2,7,2002
Loons: The Fight For Fame,Xbox,5,2002
Lost Kingdoms,GameCube,6,2002
Mad Maestro,PlayStation 2,7,2002
Madden NFL 2000,Macintosh,8,2002
Madden NFL 2003,PC,9,2002
Madden NFL 2003,PlayStation 2,9,2002
Madden NFL 2003,Xbox,9,2002
Madden NFL 2003,GameCube,9,2002
Madden NFL 2003,Game Boy Advance,8,2002
Mafia,PC,9,2002
Magic: The Gathering Online,PC,8,2002
Magical Mirror Starring Mickey Mouse,GameCube,5,2002
Magical Quest Starring Mickey & Minnie,Game Boy Advance,6,2002
Majesty: The Fantasy Kingdom,Macintosh,9,2002
Mall Tycoon,PC,5,2002
Mario Bros.-e,Game Boy Advance,6,2002
Mario Party 4,GameCube,7,2002
Marvel vs. Capcom 2: New Age of Heroes,PlayStation 2,8,2002
Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive,PlayStation 2,5,2002
Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive,GameCube,5,2002
Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive,Game Boy Advance,4,2002
Masters of the Universe: He-Man -- Power of Grayskull,Game Boy Advance,6,2002
Mat Hoffman's Pro BMX 2,Game Boy Advance,9,2002
Mat Hoffman's Pro BMX 2,Xbox,8,2002
Mat Hoffman's Pro BMX 2,PlayStation 2,8,2002
Mat Hoffman's Pro BMX 2,GameCube,8,2002
Maximo: Ghosts to Glory,PlayStation 2,9,2002
MechAssault,Xbox,9,2002
MechWarrior 4: Clan Mech Pak,PC,6,2002
MechWarrior 4: Inner Sphere Mech Pak,PC,6,2002
MechWarrior 4: Mercenaries,PC,9,2002
Medabots AX: Metabee Version,Game Boy Advance,6,2002
Medabots AX: Rokusho Version,Game Boy Advance,6,2002
Medal of Honor: Allied Assault,PC,9,2002
Medal of Honor: Allied Assault,Macintosh,9,2002
Medal of Honor: Allied Assault Spearhead,PC,8,2002
Medal of Honor: Frontline,PlayStation 2,8,2002
Medal of Honor: Frontline,Xbox,8,2002
Medal of Honor: Frontline,GameCube,8,2002
Medieval: Total War,PC,9,2002
Mega Man Battle Network 2,Game Boy Advance,9,2002
Mega Man X6,PlayStation,8,2002
Mega Man Zero,Game Boy Advance,9,2002
Men In Black II: Alien Escape,PlayStation 2,4,2002
Metal Dungeon,Xbox,4,2002
Metal Gear Solid 2: Substance,Xbox,9,2002
Metroid Fusion,Game Boy Advance,10,2002
Metroid Prime,GameCube,10,2002
Metropolismania,PlayStation 2,7,2002
Michael Schumacher Racing World Kart 2002,PC,7,2002
Microsoft Combat Flight Simulator 3: Battle for Europe,PC,7,2002
Midway's Greatest Arcade Hits (Re-Release Edition),Game Boy Advance,4,2002
Might and Magic IX,PC,7,2002
Mike Tyson Boxing,Game Boy Advance,5,2002
Mike Tyson Heavyweight Boxing,PlayStation 2,3,2002
Mike Tyson Heavyweight Boxing,Xbox,3,2002
Minority Report,Xbox,5,2002
Minority Report,PlayStation 2,5,2002
Minority Report,GameCube,5,2002
Mister Mosquito,PlayStation 2,8,2002
MLB SlugFest 20-03,PlayStation 2,8,2002
MLB SlugFest 20-03,Xbox,8,2002
MLB SlugFest 20-03,GameCube,8,2002
Mobile Forces,PC,7,2002
Mobile Suit Gundam: Federation vs. Zeon,PlayStation 2,7,2002
Mobile Suit Gundam: Zeonic Front,PlayStation 2,7,2002
Monopoly (2001),PC,5,2002
Monopoly Party,Xbox,5,2002
Monopoly Party,PlayStation 2,5,2002
Monster Force,Game Boy Advance,7,2002
Monster Jam: Maximum Destruction,Game Boy Advance,6,2002
Monster Jam: Maximum Destruction,PlayStation 2,4,2002
"Monsters, Inc.",PlayStation 2,3,2002
"Monsters, Inc.",GameCube,3,2002
MoonBase Commander,PC,8,2002
Mortal Kombat Advance,Game Boy Advance,2,2002
Mortal Kombat: Deadly Alliance,GameCube,9,2002
Mortal Kombat: Deadly Alliance,Game Boy Advance,9,2002
Mortal Kombat: Deadly Alliance,PlayStation 2,9,2002
Mortal Kombat: Deadly Alliance,Xbox,9,2002
Moto Racer 3,PC,7,2002
Motocross Maniacs Advance,Game Boy Advance,6,2002
MotoGP [2002],Game Boy Advance,7,2002
MotoGP 2,PlayStation 2,8,2002
MotoGP: Ultimate Racing Technology,Xbox,9,2002
Muppet Pinball Mayhem,Game Boy Advance,8,2002
Muscle Car 2: American Spirit,PC,2,2002
MX 2002 Featuring Ricky Carmichael,Game Boy Advance,5,2002
MX Superfly,GameCube,9,2002
MX Superfly,PlayStation 2,8,2002
MX Superfly,Xbox,8,2002
Myst III: Exile,Xbox,2,2002
Myst III: Exile,PlayStation 2,2,2002
Mystic Heroes,PlayStation 2,7,2002
Mystic Heroes,GameCube,6,2002
Namco Museum,GameCube,4,2002
Namco Museum,Xbox,4,2002
NASCAR Heat 2002,Game Boy Advance,5,2002
NASCAR Racing 2002 Season,PC,9,2002
NASCAR Thunder 2003,PlayStation 2,9,2002
NASCAR Thunder 2003,GameCube,9,2002
NASCAR Thunder 2003,Xbox,9,2002
NASCAR Thunder 2003,PC,8,2002
NASCAR: Dirt to Daytona,GameCube,8,2002
NASCAR: Dirt to Daytona,PlayStation 2,8,2002
NBA 2K2,PlayStation 2,9,2002
NBA 2K2,Xbox,9,2002
NBA 2K2,GameCube,9,2002
NBA 2K3,PlayStation 2,9,2002
NBA 2K3,GameCube,9,2002
NBA 2K3,Xbox,9,2002
NBA Courtside 2002,GameCube,8,2002
NBA Inside Drive 2002,Xbox,9,2002
NBA Inside Drive 2003,Xbox,8,2002
NBA Jam 2002,Game Boy Advance,2,2002
NBA Live 2003,Xbox,9,2002
NBA Live 2003,GameCube,9,2002
NBA Live 2003,PlayStation 2,9,2002
NBA Live 2003,PC,9,2002
NBA ShootOut 2003,PlayStation 2,7,2002
NBA Starting Five,Xbox,4,2002
NBA Starting Five,PlayStation 2,4,2002
NBA Street,GameCube,9,2002
NCAA College Basketball 2K3,Xbox,9,2002
NCAA College Basketball 2K3,GameCube,9,2002
NCAA College Basketball 2K3,PlayStation 2,9,2002
NCAA College Football 2K3,Xbox,7,2002
NCAA College Football 2K3,PlayStation 2,7,2002
NCAA College Football 2K3,GameCube,6,2002
NCAA Final Four 2003,PlayStation 2,6,2002
NCAA Football 2003,PlayStation 2,9,2002
NCAA Football 2003,Xbox,9,2002
NCAA Football 2003,GameCube,9,2002
NCAA GameBreaker 2003,PlayStation 2,6,2002
NCAA March Madness 2002,PlayStation 2,5,2002
NCAA March Madness 2003,PlayStation 2,7,2002
Need for Speed: Hot Pursuit 2,PlayStation 2,9,2002
Need for Speed: Hot Pursuit 2,Xbox,7,2002
Need for Speed: Hot Pursuit 2,GameCube,7,2002
Neocron,PC,7,2002
Neverwinter Nights,PC,9,2002
New Legends,Xbox,6,2002
NFL 2K2,Xbox,8,2002
NFL 2K3,Xbox,9,2002
NFL 2K3,PlayStation 2,9,2002
NFL 2K3,GameCube,9,2002
NFL Blitz 20-02,PlayStation 2,8,2002
NFL Blitz 20-02,GameCube,8,2002
NFL Blitz 20-02,Xbox,8,2002
NFL Blitz 20-03,Xbox,8,2002
NFL Blitz 20-03,GameCube,8,2002
NFL Blitz 20-03,PlayStation 2,8,2002
NFL Blitz 20-03,Game Boy Advance,1,2002
NFL Fever 2003,Xbox,8,2002
